lat lon alt y
-21.77793890 -43.37208000 926.72370109 -2.52985475
-21.77793990 -43.37208140 926.77370304 -2.52758582
-21.77794100 -43.37208310 926.80370545 -2.55516202
-21.77794180 -43.37208460 926.83370765 -2.55394029
-21.77794280 -43.37208640 926.84371028 -2.54346832
-21.77794360 -43.37208790 926.85371248 -2.54311925
-21.77794450 -43.37208950 926.87371481 -2.54905337
-21.77794550 -43.37209130 926.87371743 -2.55795455
-21.77794650 -43.37209310 926.86372006 -2.56860106
-21.77794740 -43.37209470 926.86372238 -2.55969988
-21.77794850 -43.37209640 926.87372480 -2.56860106
-21.77794950 -43.37209790 926.89372692 -2.56947372
-21.77794960 -43.37209890 926.88372856 -2.22459666
-21.77795020 -43.37210000 926.87373017 -2.18375596
-21.77795120 -43.37210150 926.87373229 -2.18410503
-21.77795240 -43.37210280 926.87373399 -2.19597326
-21.77795380 -43.37210410 926.85373561 -2.21517189
-21.77795510 -43.37210530 926.84373711 -2.21674268
-21.77795650 -43.37210660 926.83373873 -2.21848801
-21.77795800 -43.37210770 926.81373997 -2.21918614
-21.77795940 -43.37210900 926.79374160 -2.22861092
-21.77796070 -43.37211010 926.75374292 -2.22616746
-21.77796200 -43.37211140 926.74374458 -2.23192705
-21.77796340 -43.37211250 926.75374587 -2.24484248
-21.77796480 -43.37211390 926.74374766 -2.24711141
-21.77796540 -43.37211440 926.73374826 -1.93993346
-21.77796600 -43.37211470 926.73374852 -1.55351757
-21.77796750 -43.37211500 926.71374842 -1.53013016
-21.77796930 -43.37211520 926.71374803 -1.52122898
-21.77797120 -43.37211510 926.74374709 -1.53449348
-21.77797290 -43.37211510 926.74374640 -1.53693694
-21.77797450 -43.37211500 926.74374559 -1.54304559
-21.77797640 -43.37211500 926.73374482 -1.54740891
-21.77797820 -43.37211500 926.74374410 -1.56817833
-21.77798020 -43.37211500 926.75374329 -1.56905100
-21.77798200 -43.37211500 926.76374256 -1.57795218
-21.77798380 -43.37211500 926.73374183 -1.57707951
-21.77798520 -43.37211490 926.72374110 -1.58982042
-21.77798670 -43.37211490 926.71374049 -1.59139121
-21.77798840 -43.37211490 926.68373981 -1.59558000
-21.77799020 -43.37211490 926.68373908 -1.60657558
-21.77799200 -43.37211490 926.68373835 -1.61320783
-21.77799420 -43.37211490 926.68373746 -1.62402887
-21.77799610 -43.37211490 926.67373670 -1.63153378
-21.77799800 -43.37211510 926.66373627 -1.63764244
-21.77799980 -43.37211520 926.67373571 -1.63764244
-21.77800190 -43.37211530 926.70373503 -1.65596839
-21.77800350 -43.37211550 926.71373472 -1.66591677
-21.77800510 -43.37211570 926.73373441 -1.69017685
-21.77800670 -43.37211590 926.75373410 -1.68703525
-21.77800840 -43.37211620 926.75373391 -1.69995069
-21.77801010 -43.37211660 926.74373390 -1.69977616
-21.77801200 -43.37211690 926.75373364 -1.68528993
-21.77801350 -43.37211720 926.73373354 -1.69855443
-21.77801520 -43.37211750 926.72373335 -1.71757852
-21.77801670 -43.37211770 926.72373308 -1.72438530
-21.77801820 -43.37211790 926.74373281 -1.73450821
-21.77801960 -43.37211820 926.76373275 -1.73642807
-21.77802120 -43.37211860 926.76373278 -1.73590447
-21.77802270 -43.37211880 926.77373251 -1.74375846
-21.77802440 -43.37211910 926.76373233 -1.75457950
-21.77802590 -43.37211940 926.71373223 -1.76732040
-21.77802770 -43.37211980 926.71373217 -1.78547182
-21.77802920 -43.37212040 926.69373257 -1.78529729
-21.77803090 -43.37212090 926.67373273 -1.80083072
-21.77803240 -43.37212120 926.64373263 -1.80205245
-21.77803350 -43.37212150 926.65373269 -2.13436314
-21.77803400 -43.37212210 926.65373349 -2.48604699
-21.77803520 -43.37212340 926.64373520 -2.52130264
-21.77803660 -43.37212510 926.66373749 -2.51606665
-21.77803780 -43.37212680 926.65373987 -2.51833558
-21.77803900 -43.37212820 926.65374174 -2.51990637
-21.77804010 -43.37212960 926.64374365 -2.52392063
-21.77804130 -43.37213110 926.65374568 -2.52653863
-21.77804270 -43.37213280 926.66374798 -2.52706222
-21.77804400 -43.37213440 926.65375014 -2.53543980
-21.77804460 -43.37213500 926.66375091 -1.74532925
-21.77804660 -43.37213520 926.67375044 -1.74812178
-21.77804860 -43.37213550 926.66375013 -1.75737202
-21.77805010 -43.37213580 926.66375003 -1.75073977
-21.77805190 -43.37213590 926.68374947 -1.75789562
-21.77805380 -43.37213610 926.69374904 -1.75335777
-21.77805570 -43.37213630 926.68374861 -1.75405590
-21.77805750 -43.37213660 926.68374839 -1.75807016
-21.77805930 -43.37213690 926.69374817 -1.77063653
-21.77806090 -43.37213720 926.71374802 -1.76330614
-21.77806280 -43.37213730 926.72374742 -1.76958933
-21.77806440 -43.37213760 926.74374728 -1.77342905
-21.77806610 -43.37213790 926.76374710 -1.76051362
-21.77806770 -43.37213820 926.80374696 -1.76225895
-21.77806970 -43.37213850 926.85374665 -1.77185826
-21.77807160 -43.37213880 926.88374639 -1.78913702
-21.77807330 -43.37213900 926.89374604 -1.80379778
-21.77807470 -43.37213930 926.89374598 -1.80030712
-21.77807620 -43.37213950 926.89374571 -1.80955737
-21.77807780 -43.37213970 926.88374540 -1.81776042
-21.77807950 -43.37213990 926.85374505 -1.81828401
-21.77808100 -43.37214020 926.83374494 -1.83905343
-21.77808240 -43.37214040 926.81374471 -1.85423780
-21.77808400 -43.37214070 926.80374457 -1.84236956
